window_pos,normalized_RF
4000_4100,0.92
200_300,0.88
4720_4820,0.88
1520_1620,0.88
2510_2610,0.92
3680_3780,0.96
1870_1970,0.96
2260_2360,0.92
1880_1980,0.96
3100_3200,0.88
2290_2390,0.92
3670_3770,0.92
5410_5510,0.92
4340_4440,0.92
660_760,0.88
130_230,0.88
2340_2440,0.92
3410_3510,0.92
680_780,0.88
1950_2050,0.92
4290_4390,0.92
5100_5200,0.88
1370_1470,0.92
1380_1480,0.92
4510_4610,0.92
4260_4360,0.92
1030_1130,0.88
1710_1810,0.92
2720_2820,0.92
2000_2100,0.92
5510_5601,0.92
4840_4940,0.92
700_800,0.88
770_870,0.84
4950_5050,0.84
290_390,0.88
2420_2520,0.92
3370_3470,0.92
4640_4740,0.92
1410_1510,0.88
910_1010,0.88
3940_4040,0.92
4130_4230,0.96
5250_5350,0.92
3380_3480,0.92
3030_3130,0.92
3710_3810,0.96
5200_5300,0.88
4190_4290,0.92
3060_3160,0.92
3740_3840,0.96
2480_2580,0.92
440_540,0.88
2470_2570,0.92
3320_3420,0.96
3090_3190,0.88
4900_5000,0.88
30_130,0.92
3910_4010,0.92
4160_4260,0.92
4610_4710,0.92
1440_1540,0.88
940_1040,0.88
4230_4330,0.92
1060_1160,0.88
1740_1840,0.92
4540_4640,0.92
40_140,0.96
2770_2870,0.88
2050_2150,0.92
4810_4910,0.88
2780_2880,0.88
430_530,0.88
2310_2410,0.92
3440_3540,0.92
1900_2000,0.92
1320_1420,0.92
1090_1190,0.88
5150_5250,0.88
3620_3720,0.92
3150_3250,0.88
4780_4880,0.88
1580_1680,0.88
5440_5540,0.92
4310_4410,0.92
1570_1670,0.92
2810_2910,0.92
830_930,0.88
1200_1300,0.92
4050_4150,0.96
4770_4870,0.88
1820_1920,0.92
2230_2330,0.92
2540_2640,0.92
2160_2260,0.92
3580_3680,0.92
2610_2710,0.92
840_940,0.88
1620_1720,0.92
5320_5420,0.92
4470_4570,0.92
1150_1250,0.88
2900_3000,0.88
5090_5190,0.88
3820_3920,0.92
5060_5160,0.92
4480_4580,0.92
3570_3670,0.92
2190_2290,0.92
3200_3300,0.92
4300_4400,0.92
5450_5550,0.92
1590_1690,0.92
180_280,0.88
4790_4890,0.88
3140_3240,0.88
3630_3730,0.92
2550_2650,0.92
2220_2320,0.92
1830_1930,0.92
1210_1310,0.88
4760_4860,0.88
4040_4140,0.96
2800_2900,0.92
1560_1660,0.92
750_850,0.88
720_820,0.88
2910_3010,0.88
5080_5180,0.88
380_480,0.88
1140_1240,0.88
590_690,0.88
1630_1730,0.92
4460_4560,0.92
5330_5430,0.92
2600_2700,0.96
3590_3690,0.92
2170_2270,0.92
3210_3310,0.92
2180_2280,0.92
3560_3660,0.92
4490_4590,0.92
5070_5170,0.88
3830_3930,0.92
110_210,0.88
2490_2590,0.92
640_740,0.88
3750_3850,0.96
3070_3170,0.92
4180_4280,0.92
5210_5310,0.88
4600_4700,0.92
1450_1550,0.88
950_1050,0.88
4170_4270,0.92
3900_4000,0.96
3080_3180,0.92
4910_5010,0.84
220_320,0.88
570_670,0.88
3330_3430,0.96
2460_2560,0.92
360_460,0.88
4800_4900,0.88
310_410,0.88
2040_2140,0.92
500_600,0.88
2760_2860,0.88
250_350,0.88
4550_4650,0.92
4220_4320,0.92
1750_1850,0.92
1070_1170,0.88
5140_5240,0.88
1080_1180,0.88
1330_1430,0.92
1910_2010,0.92
3450_3550,0.88
2300_2400,0.92
630_730,0.88
160_260,0.88
2790_2890,0.88
5480_5580,0.88
1540_1640,0.88
4740_4840,0.88
4060_4160,0.92
1230_1330,0.92
2820_2920,0.92
2200_2300,0.92
3190_3290,0.92
1810_1910,0.92
2570_2670,0.96
3610_3710,0.92
2580_2680,0.96
3160_3260,0.88
4090_4190,0.92
4320_4420,0.92
5470_5570,0.88
580_680,0.88
390_490,0.88
730_830,0.88
5050_5150,0.92
740_840,0.88
3810_3910,0.92
1190_1290,0.92
3540_3640,0.92
3230_3330,0.96
2150_2250,0.92
2620_2720,0.92
4440_4540,0.92
5310_5410,0.92
1610_1710,0.92
190_290,0.88
2930_3030,0.84
1160_1260,0.88
170_270,0.88
3310_3410,0.96
620_720,0.88
2440_2540,0.92
4930_5030,0.84
3780_3880,0.96
4150_4250,0.92
3920_4020,0.92
970_1070,0.88
1470_1570,0.88
4620_4720,0.88
1480_1580,0.88
980_1080,0.88
5230_5330,0.92
3770_3870,0.96
3050_3150,0.92
240_340,0.88
510_610,0.88
300_400,0.88
370_470,0.88
560_660,0.88
2090_2190,0.92
230_330,0.88
1930_2030,0.92
3470_3570,0.92
2320_2420,0.92
4580_4680,0.92
1310_1410,0.92
5160_5260,0.88
1780_1880,0.92
5190_5290,0.88
1770_1870,0.92
1050_1150,0.88
4200_4300,0.92
4570_4670,0.92
3480_3580,0.92
650_750,0.88
4820_4920,0.88
100_200,0.88
2060_2160,0.92
2740_2840,0.92
960_1060,0.88
1460_1560,0.88
4630_4730,0.88
3930_4030,0.88
4140_4240,0.96
4920_5020,0.84
3790_3890,0.92
420_520,0.88
2450_2550,0.92
3300_3400,0.96
3040_3140,0.92
50_150,0.92
3760_3860,0.96
5220_5320,0.88
1490_1590,0.88
990_1090,0.88
1790_1890,0.92
5170_5270,0.88
1300_1400,0.92
4590_4690,0.88
2330_2430,0.92
3460_3560,0.92
20_120,0.88
1920_2020,0.92
2080_2180,0.92
2750_2850,0.88
2070_2170,0.92
450_550,0.92
4830_4930,0.88
3490_3590,0.92
4560_4660,0.92
1040_1140,0.88
1760_1860,0.92
4210_4310,0.92
5180_5280,0.88
2560_2660,0.92
3180_3280,0.88
1800_1900,0.92
2210_2310,0.92
2830_2930,0.92
4070_4170,0.92
4750_4850,0.88
1220_1320,0.92
1550_1650,0.88
5490_5590,0.92
5460_5560,0.92
4330_4430,0.92
850_950,0.88
4080_4180,0.92
3170_3270,0.88
2590_2690,0.96
3600_3700,0.92
3220_3320,0.96
3550_3650,0.92
820_920,0.88
3800_3900,0.92
1180_1280,0.88
5040_5140,0.92
1170_1270,0.92
2920_3020,0.88
5300_5400,0.92
4450_4550,0.92
1600_1700,0.92
2630_2730,0.92
2140_2240,0.92
